trail_name,user,region,park,province,country,latitude,longitude,start_date,end_date,distance,elevation_gain,max_temp,min_temp,rain,snow,summer_temp,winter_temp,annual_rain,annual_snow,forest,lake,river,waterfall,beach,historic_site,cave,hot_spring,difficulty,enjoyment,route_type,route,num_reviews,backpacking,nights,days,order
Mama Bruce,Jamie,East Shore,Bruce Peninsula,Ontario,Canada,45.02,-81.284,2023-08-04,2023-08-06,12.5,130,22.6,16.4,0.7,0.0,25.3,-16.1,746.0,158.5,1,1,0,0,0,0,0,0,1,4,out and back,"https://www.komoot.com/plan/tour/d01Aq71a_sntWw=FvgABJ-MMhYm5UaCT7Fx_BPSBBE0ip4T9yA4ee8o/@45.0373036,-81.2663245,12.064z?similar=1247331824",1,1,2,3,21
La Cloche Silhouette,Jamie,Killarney,Killarney,Ontario,Canada,46.014,-81.404,2023-08-27,2023-08-31,77.6,1520,19.7,9.7,11.9,0.0,24.5,-20.0,689.8,152.4,1,1,0,1,0,0,0,0,5,4,loop,"https://www.komoot.com/plan/tour/d01Ar4ez_sl5N4=FyjYBIQ-YPbT7wZ8JItRqP_MPnIzn5DYb0GBs_hbAdEIHpX4vDhGBdcmc4NydJytpyg=/@46.0761423,-81.3522639,10.053z",1,1,4,5,22
Mt. Marcy,Jamie,High Peaks,Adirondacks,New York,USA,44.183,-73.964,2023-09-30,2023-10-02,36.2,1670,21.4,9.5,0.1,0.0,27.3,-24.1,903.5,210.5,1,1,1,0,0,1,0,0,7,5,loop,"https://www.komoot.com/plan/tour/d01AqIujPuXZw8=FxlsBm59sFitltBadPyhyRHynf0JxOVZ70ilku_DNABoCtDBhAXNCKHL1AA=/@44.1435734,-73.9558634,10.959z",1,1,2,3,23
Sheldon Lake,Jamie,East Side,Queen Elizabeth II,Ontario,Canada,44.861,-78.821,2023-10-14,2023-10-15,18.9,160,12.4,6.1,1.0,0.0,29.7,-22.6,854.2,149.6,1,1,0,0,0,0,0,0,1,4,loop,"https://www.komoot.com/plan/tour/d01AqyAXftNXVY=FxgABPpkfj0IWbwcMNXk_h0Pv_QZ5J9vpKMo/@44.8433775,-78.8243859,11.838z",1,1,1,2,24
Algonquin Pinnacle,Jamie,Highway 60,Algonquin,Ontario,Canada,45.614,-78.337,2023-12-02,2023-12-03,24.8,360,0.1,-7.7,0.0,0.1,28.4,-24.2,690.2,194.9,1,0,0,0,0,1,0,0,3,2,out and back,"https://www.komoot.com/plan/tour/d01Arf_wvtUqqk=FxcAR2Ax0JRBKuN5gMeCUCAx0JR0A_cEoB-0JPkB-4JRoBooPmBosPlIDRQfLICCgtogIKC2tf_CCrv_CCrp_-EFX6_5QGhf8pDQj_ygNC0APQMIAtqkZkAeYYRoBXwUUAr0KJICvgorQAAAswAAAswQAABZmgCTBioEmDFMgEmDFdf8KDYf6PFEJ_4SGw6ACeGfAE6M9iAE8M-0AYAJrAMAE1kAwATXkBogTwQGihPGQH6AqhAfoCp6Ad-BtgO_A3CA78DbwQJKf7mQENAhRAQ0CFaAPyFMAfkKYSAfoKYKnkI8fQAAAAACHGhMQCHehWgIkfYIESPsEgRH-wQA/@45.6407610,-78.2906353,12.297z",1,1,1,2,25
Track and Tower,Jamie,Highway 60,Algonquin,Ontario,Canada,45.56,-78.578,2024-01-27,2024-01-28,9.7,200,2.0,-1.5,0.0,0.0,28.0,-23.5,729.6,197.2,1,1,1,0,0,0,0,0,1,3,loop,"https://www.komoot.com/plan/tour/d01ArcvkPtQ_UM=FweABJJG0U0g9Z9NT8KgLLP_Ca70_Un_PSC9JUGJGrgVwgDOYKaA/@45.5507820,-78.5655619,12.849z",1,1,1,2,26
Johns Brook Lodge,Jamie,High Peaks,Adirondacks,New York,USA,44.189,-73.816,2024-03-09,2024-03-10,14.1,420,4.4,-0.3,0.1,24.6,28.7,-22.9,886.1,188.8,1,0,0,0,0,0,0,0,1,4,out and back,"https://www.komoot.com/plan/tour/d01AqJGCPuZqkk=FxgABNLWZn_P9Wu1CIeUvAbPhrg_loA=/@44.1602431,-73.8473264,12.565z",1,1,1,2,27
Cat Mountain Eclipse,Jamie,Cranberry Lake,Adirondacks,New York,USA,44.132,-74.922,2024-04-06,2024-04-08,30.6,320,11.7,-2.4,0.0,0.0,28.0,-22.2,1036.2,222.4,1,1,1,1,0,0,0,0,5,3,loop,"https://www.komoot.com/plan/tour/d11AqFmffuIyDY=FxjYBNWprhMwz5ujpMHhKJw3_qeFXgx7mju7n9vtAA==/@44.0988347,-74.9083454,10.898z",1,1,2,3,28
Wet Wolfjaw,Jamie,High Peaks,Adirondacks,New York,USA,44.15,-73.768,2024-06-29,2024-07-01,15.3,890,25.6,13.4,19.3,0.0,29.4,-22.4,886.1,188.8,1,0,0,1,0,0,0,0,5,3,out and back,"https://www.komoot.com/plan/tour/d01AqGr2vuaZFU=FxdsEBleIx3v51vy0vmSxtC-2D3ptLuIhZbRInFH23iD1QXHoA==/@44.1517613,-73.7723647,10.620z",1,1,2,3,29
Slide Lake Loop,Jamie,Frontenac,Frontenac,Ontario,Canada,44.518,-76.54,2024-08-16,2024-08-18,30.1,200,27.7,19.1,15.8,0.0,30.1,-19.8,839.2,129.4,1,1,0,0,0,0,0,0,3,2,loop,"https://www.komoot.com/plan/tour/d01AqdMY_twFgU=Fxj4EAXIDvJcDvhnEqEZb3IHNbY-NRBQWZ_ExvSo-qSSHKbzYcTzoA==/@44.5191126,-76.5084933,12.667z",1,1,2,3,30
East Coast Trail,Jamie,Avalon Penninsula,Avalon Penninsula,Newfoundland,Canada,47.571,-52.702,2024-09-07,2024-09-08,36.5,650,19.1,14.8,1.0,0.0,23.8,-10.7,905.4,231.9,1,0,0,0,0,1,0,0,5,4,point to point,"https://www.komoot.com/plan/tour/d01AtXeL_zb0pY=FyjMBP90_zeD4mnueEgiKAawJCXAv9Sal3X8tAa5gjjlNYkBsf_FZ_8MABef2dvffmqoCREZAuuAiUf0Vf3bEC6sCJR_RY_dsQLqAIlA/@47.5194446,-52.7070077,10.189z",1,1,1,2,31
